county,state,household_income,total_population,total_white_population
randolph county,GA,2402,6503,2021
randolph county,IL,11538,30632,26254
randolph county,IN,10166,24681,23090
randolph county,MO,8856,24880,22106
randolph county,NC,55757,143735,119501
randolph county,WV,10065,28150,25949
rankin county,MS,58297,156052,115164
ransom county,ND,2305,5679,5321
rapides parish,LA,48651,130459,81215
rappahannock county,VA,2773,7400,6576
ravalli county,MT,18749,43790,40503
rawlins county,KS,1170,2531,2366
ray county,MO,8604,23080,21771
reagan county,TX,1069,3363,1711
real county,TX,893,2852,2732
red lake county,MN,1652,3921,3674
red river county,TX,4591,11685,9161
red river parish,LA,2800,7787,4389
red willow county,NE,4328,10724,10011
redwood county,MN,6140,15435,13449
reeves county,TX,4070,14584,9911
refugio county,TX,2189,6822,5190
reno county,KS,25023,62071,55167
rensselaer county,NY,66341,161125,135381
renville county,MN,5861,14768,13016
renville county,ND,854,2328,2288
republic county,KS,2077,4707,4542
reynolds county,MO,2253,6138,5723
rhea county,TN,12756,32723,29923
rice county,KS,3766,9464,8159
rice county,MN,23078,66795,56077
rich county,UT,661,2507,2257
richardson county,NE,3634,7893,7282
richland county,IL,6381,15876,15141
richland county,MT,4540,11375,10328
richland county,ND,6668,16546,15026
richland county,OH,49505,124504,106947
richland county,SC,160231,414719,178628
richland county,WI,7157,17353,16298
richland parish,LA,7202,20110,12350
richmond county,GA,73631,205772,72675
richmond county,NY,169528,493194,342071
richmond county,NC,16292,43301,25427
richmond county,VA,2811,8902,5436
richmond city,VA,98821,225676,101179
riley county,KS,26566,72602,58797
rincón municipio,PR,5704,15097,7796
ringgold county,IA,1860,4739,4525
rio arriba county,NM,13293,40347,16699
rio blanco county,CO,2488,6495,5705
rio grande county,CO,4616,11476,8957
ripley county,IN,11127,28953,27990
ripley county,MO,3947,11032,10507
ritchie county,WV,3121,8676,8383
riverside county,CA,740506,2409331,1232550
roane county,TN,21773,53313,49557
roane county,WV,5376,14129,13655
roanoke county,VA,39087,96303,83630
roanoke city,VA,42766,99578,59831
roberts county,SD,3648,10254,5754
roberts county,TX,310,724,694
robertson county,KY,844,2196,2170
robertson county,TN,26536,72309,61126
robertson county,TX,6310,16839,11872
robeson county,NC,42241,118836,30503
rock county,MN,3921,9718,9267
rock county,NE,559,1321,1298
rock county,WI,66030,163522,138122
rock island county,IL,60694,144694,111548
rockbridge county,VA,9045,22663,20936
rockcastle county,KY,6307,16167,15762
rockdale county,GA,32604,92983,31177
rockingham county,NH,124080,312771,290961
rockingham county,NC,37926,90903,67003
rockingham county,VA,31189,83090,75993
rockland county,NY,102161,336485,233528
rockwall county,TX,35771,105227,81467
roger mills county,OK,1403,3477,2989
rogers county,OK,34465,94637,68917
rolette county,ND,3693,12508,2072
rooks county,KS,2106,4975,4728
roosevelt county,MT,3122,10884,3688
roosevelt county,NM,6895,19223,13451
roscommon county,MI,11014,23458,22258
roseau county,MN,5689,15321,13918
rosebud county,MT,2944,8464,4379
ross county,OH,29455,77205,69385
routt county,CO,10094,24899,22266
rowan county,KY,8819,24654,23580
rowan county,NC,55485,145784,109504
runnels county,TX,3746,9887,8328
rush county,IN,6642,16706,16218
rush county,KS,1318,2883,2648
rusk county,TX,17656,52542,38398
rusk county,WI,6063,14182,13574
russell county,AL,23141,58695,27696
russell county,KS,2930,6747,6144
russell county,KY,6982,17909,16834
russell county,VA,10355,25932,25083
rutherford county,NC,25925,64592,54935
rutherford county,TN,118955,335595,246075
rutland county,VT,24998,60662,57672
río grande municipio,PR,15573,47630,17544
sabana grande municipio,PR,6868,22860,14653
sabine county,TX,4317,9974,8795
sabine parish,LA,8361,22377,15137
sac county,IA,4196,9829,9518
sacramento county,CA,559036,1571767,818588
sagadahoc county,ME,15879,36530,34789
saginaw county,MI,77995,190540,139345
saguache county,CO,2877,6369,5436
salem county,NJ,24753,64752,50393
salem city,VA,9971,25335,21788
salinas municipio,PR,9778,26208,10281
saline county,AR,47468,122308,105208
saline county,IL,10026,23869,22145
saline county,KS,22048,54378,47510
saline county,MO,7809,23278,19492
saline county,NE,5114,14395,12142
salt lake county,UT,399584,1173331,891400
saluda county,SC,7227,19008,11828
sampson county,NC,21281,59468,34719
san augustine county,TX,3167,7964,5708
san benito county,CA,19144,63329,39715
san bernardino county,CA,651743,2171071,1101227
san diego county,CA,1139899,3296317,2043229
san francisco county,CA,361222,865933,376056
san germán municipio,PR,11475,32031,19848
san jacinto county,TX,9451,27380,21421
san joaquin county,CA,234662,771406,358383
san juan county,CO,326,698,648
san juan county,NM,40639,122912,57748
san juan county,UT,4438,14610,7032
san juan county,WA,8378,17631,15954
san juan municipio,PR,142829,344791,165403
san lorenzo municipio,PR,13571,37822,10814
san luis obispo county,CA,106790,282771,225822
san mateo county,CA,264892,762488,349707
san miguel county,CO,3594,8084,7535
san miguel county,NM,11451,27357,15991
san patricio county,TX,23808,68600,55501
san saba county,TX,1960,5775,4713
san sebastián municipio,PR,13808,39351,25298
sanborn county,SD,896,2371,2277
sanders county,MT,5390,12298,11252
sandoval county,NM,53567,147327,96189
sandusky county,OH,23797,59013,52333
sangamon county,IL,84630,196759,158534
sanilac county,MI,17086,40829,38969
sanpete county,UT,8612,28458,24761
santa barbara county,CA,147446,447651,294936
santa clara county,CA,646847,1932022,754027
santa cruz county,AZ,16428,47463,30808
santa cruz county,CA,96476,272138,186503
santa fe county,NM,65856,153632,113828
santa isabel municipio,PR,7258,20530,7638
santa rosa county,FL,67534,184345,154250
sarasota county,FL,193923,429336,377600
saratoga county,NY,97829,235010,214660
sargent county,ND,1775,3839,3568
sarpy county,NE,69388,188464,159033
sauk county,WI,26850,65428,60618
saunders county,NE,8664,22008,21213
sawyer county,WI,7932,17813,13788
schenectady county,NY,61038,157515,116591
schleicher county,TX,883,2547,1599
schley county,GA,1600,4622,3191
schoharie county,NY,12110,29936,27688
schoolcraft county,MI,3607,8004,6811
schuyler county,IL,2692,6953,6477
schuyler county,MO,1252,4094,3952
schuyler county,NY,7542,17920,17070
schuylkill county,PA,56763,143308,132166
scioto county,OH,28152,74392,69612
scotland county,MO,1639,4760,4646
scotland county,NC,12214,34345,14506
scott county,AR,3938,9928,8505
scott county,IL,1943,4923,4737
scott county,IN,9526,24290,23204
scott county,IA,69955,174170,144654
scott county,KS,2121,5163,4635
scott county,KY,21347,56267,49293
scott county,MN,52310,149568,122135
scott county,MS,9776,28062,15441
scott county,MO,15001,38161,32082
scott county,TN,8533,21855,21272
scott county,VA,8612,21576,21087
scotts bluff county,NE,14832,36229,30756
screven county,GA,4707,14028,7829
scurry county,TX,5973,16985,13454
searcy county,AR,2964,7872,7084
sebastian county,AR,51587,127941,91660
sedgwick county,CO,1020,2459,2110
sedgwick county,KS,200871,520467,387243
seminole county,FL,180891,467382,324313
seminole county,GA,3530,9108,5834
seminole county,OK,8581,23798,15691
seneca county,NY,13603,33900,30411
seneca county,OH,21862,55166,50775
sequatchie county,TN,5866,15727,14972
sequoyah county,OK,14623,39652,24883
sevier county,AR,5498,16074,9756
sevier county,TN,36817,98088,90766
sevier county,UT,7250,21471,20054
seward county,KS,7249,22223,11748
seward county,NE,6555,17605,16898
shackelford county,TX,1269,3145,2932
shannon county,MO,2730,7185,6741
sharkey county,MS,1364,4160,1118
sharp county,AR,6841,17243,16106
shasta county,CA,71314,181935,151465
shawano county,WI,16732,40836,35614
shawnee county,KS,74014,179053,143138
sheboygan county,WI,48751,117528,101458
shelby county,AL,82005,220780,173773
shelby county,IL,8768,21160,20648
shelby county,IN,17818,44825,41994
shelby county,IA,4918,11750,11239
shelby county,KY,17046,47523,39500
shelby county,MO,2329,6087,5784
shelby county,OH,18429,48307,45119
shelby county,TN,354736,929178,348349
shelby county,TX,8898,24254,17717
shenandoah county,VA,17487,44037,39903
sherburne county,MN,33825,96295,86543
sheridan county,KS,1004,2459,2318
sheridan county,MT,1444,3522,3252
sheridan county,NE,2086,5150,4213
sheridan county,ND,624,1328,1278
sheridan county,WY,13003,30812,28826
sherman county,KS,2239,5965,5241
sherman county,NE,1322,2986,2881
sherman county,OR,711,1784,1570
sherman county,TX,810,2357,1865
shiawassee county,MI,27704,68203,65133
shoshone county,ID,5431,13124,12087
sibley county,MN,5864,14948,13774
sierra county,CA,1151,3079,2776
sierra county,NM,5321,11512,9441
silver bow county,MT,15028,35017,32417
simpson county,KY,7222,19324,16570
simpson county,MS,9090,26064,15982
sioux county,IA,12284,35647,32606
sioux county,NE,459,1081,962
sioux county,ND,1061,3993,447
siskiyou county,CA,18598,44151,36110
sitka city and borough,AK,3439,8518,5413
skagit county,WA,50540,128228,101807
skagway municipality,AK,390,1329,1017
skamania county,WA,4723,11973,10902
slope county,ND,319,775,746
smith county,KS,1525,3588,3434
smith county,MS,5370,14483,10782
smith county,TN,7473,19820,18120
smith county,TX,81377,231429,171794
smyth county,VA,12607,29960,28585
snohomish county,WA,302970,820024,582306
snyder county,PA,14373,39877,38141
socorro county,NM,4834,16605,11092
solano county,CA,153632,451432,218893
somerset county,ME,21596,50424,48411
somerset county,MD,8113,24834,12965
somerset county,NJ,125363,343950,209411
somerset county,PA,28857,74331,70224
somervell county,TX,3227,9170,7553
sonoma county,CA,188841,492498,346482
southampton county,VA,6661,18028,11264
southeast fairbanks census area,AK,2127,6849,5113
spalding county,GA,25852,66722,40201
spartanburg county,SC,122044,322864,227641
spencer county,IN,7870,19949,19158
spencer county,KY,6892,19256,18413
spink county,SD,2459,6408,6059
spokane county,WA,209640,531477,455903
spotsylvania county,VA,47944,138493,96515
st. bernard parish,LA,15472,43821,29213
st. charles county,MO,153164,402377,352890
st. charles parish,LA,18640,52411,35090
st. clair county,AL,33218,90412,77943
st. clair county,IL,100079,258597,161899
st. clair county,MI,65362,160067,148323
st. clair county,MO,3955,9235,8669
st. croix county,WI,35387,92495,87099
st. francis county,AR,8146,23623,9451
st. francois county,MO,23419,67168,61663
st. helena parish,LA,3991,10881,5006
st. james parish,LA,7464,20390,10048
st. john the baptist parish,LA,15109,42704,15025
st. johns county,FL,95640,265724,225524
st. joseph county,IN,106330,272049,204891
st. joseph county,MI,23670,60828,54526
st. landry parish,LA,30479,82999,45628
st. lawrence county,NY,41224,108836,100484
st. louis county,MN,85532,200311,183035
st. louis county,MO,412858,1001982,653837
st. louis city,MO,141161,302787,140219
st. lucie county,FL,122186,324599,215702
st. martin parish,LA,19537,52222,34612
st. mary parish,LA,18565,49818,29103
st. mary's county,MD,40236,113209,85113
st. tammany parish,LA,99293,262799,209458
stafford county,KS,1571,4106,3805
stafford county,VA,49469,154204,97612
stanislaus county,CA,175067,550842,356790
stanley county,SD,1249,2963,2698
stanly county,NC,23633,62148,51428
stanton county,KS,834,2088,1831
stanton county,NE,2214,5877,5546
stark county,IL,2262,5436,5228
stark county,ND,13123,32710,29006
stark county,OH,154426,374712,324684
starke county,IN,8474,23275,22339
starr county,TX,18599,65568,46351
staunton city,VA,11125,25358,20885
ste. genevieve county,MO,7088,18406,17728
stearns county,MN,60098,157638,134990
steele county,MN,14911,37363,33644
steele county,ND,776,1870,1771
stephens county,GA,10037,26641,22035
stephens county,OK,16633,42983,34859
stephens county,TX,3385,9142,7768
stephenson county,IL,19253,44817,37804
sterling county,TX,397,1391,1070
steuben county,IN,13689,34379,32660
steuben county,NY,38650,94153,88300
stevens county,KS,1765,5320,3943
stevens county,MN,3764,9669,8449
stevens county,WA,18222,46057,40654
stewart county,GA,1665,5347,1240
stewart county,TN,5091,13569,12575
stillwater county,MT,3733,8916,8440
stoddard county,MO,11293,28812,27597
stokes county,NC,18777,44588,41113
stone county,AR,4678,12364,11353
stone county,MS,6429,18356,14365
stone county,MO,12276,31018,29703
stonewall county,TX,472,1358,1249
storey county,NV,1611,4047,3402
story county,IA,37944,98106,82923
strafford county,NH,50630,130598,118445
stutsman county,ND,9069,21678,20183
sublette county,WY,3337,8830,8478
suffolk county,MA,315192,792647,409151
suffolk county,NY,505564,1522998,1161380
suffolk city,VA,35249,93268,46480
sullivan county,IN,7575,20814,19110
sullivan county,MO,2020,6045,5225
sullivan county,NH,16272,43105,41252
sullivan county,NY,28816,78230,60108
sullivan county,PA,2398,5935,5562
sullivan county,TN,67025,157843,148075
sully county,SD,578,1279,1204
summers county,WV,4982,12125,11351
summit county,CO,11329,31042,27193
summit county,OH,228283,540567,414742
summit county,UT,13475,42156,37488
sumner county,KS,8955,22603,20793
sumner county,TN,72638,193036,162160
sumter county,AL,4808,12482,3203
sumter county,FL,61441,127335,112096
sumter county,GA,10825,29690,12859
sumter county,SC,40789,105537,48333
sunflower county,MS,8073,26295,6177
surry county,NC,28603,71439,63253
surry county,VA,2720,6563,3658
susquehanna county,PA,15430,38892,37596
sussex county,DE,96375,234045,185671
sussex county,NJ,55401,144492,128846
sussex county,VA,3656,10960,4434
sutter county,CA,32703,99080,57951
sutton county,TX,1124,3417,1832
suwannee county,FL,15098,43514,34479
swain county,NC,5505,14166,8949
sweet grass county,MT,1389,3690,3508
sweetwater county,WY,15529,42459,36867
swift county,MN,4215,9810,9128
swisher county,TX,2477,7055,5636
switzerland county,IN,3704,9870,9460
talbot county,GA,2549,5837,2383
talbot county,MD,16251,37510,30164
taliaferro county,GA,605,1574,562
talladega county,AL,31778,81850,51584
tallahatchie county,MS,4101,12917,4466
tallapoosa county,AL,16380,41284,28593
tama county,IA,6655,17079,14467
taney county,MO,21249,55854,51060
tangipahoa parish,LA,48390,132492,86492
taos county,NM,12840,34322,24747
tarrant county,TX,739804,2091953,1245396
tate county,MS,10375,28123,18820
tattnall county,GA,7556,23211,13206
taylor county,FL,7270,21762,15865
taylor county,GA,3096,7857,4541
taylor county,IA,2446,5932,5475
taylor county,KY,9771,25948,23721
taylor county,TX,53292,141739,104458
taylor county,WV,6557,16727,16124
taylor county,WI,7691,19960,19268
tazewell county,IL,53719,131977,125466
tazewell county,VA,15759,40615,38077
tehama county,CA,24551,65345,52668
telfair county,GA,3020,12860,6701
teller county,CO,10557,24607,22375
tensas parish,LA,1502,4269,1805
terrebonne parish,LA,41960,110100,75290
terrell county,GA,3344,9102,3286
terrell county,TX,426,979,866
terry county,TX,4082,11937,9030
teton county,ID,4199,11490,9884
teton county,MT,2428,6173,5756
teton county,WY,9531,23319,19873
texas county,MO,9344,24866,22729
texas county,OK,6890,21448,12005
thayer county,NE,2056,5053,4801
thomas county,GA,17817,45669,27020
thomas county,KS,3166,7902,7326
thomas county,NE,283,562,523
throckmorton county,TX,618,1426,1318
thurston county,NE,2026,6806,2461
thurston county,WA,114556,290642,225666
tift county,GA,15287,41148,24984
tillamook county,OR,11381,27129,24410
tillman county,OK,2625,7070,4713
tioga county,NY,20316,48567,46318
tioga county,PA,16340,41089,39730
tippah county,MS,7854,21877,16832
tippecanoe county,IN,71801,185961,147472
tipton county,IN,6155,15290,14769
tipton county,TN,21860,60868,46381
tishomingo county,MS,8030,18945,17576
titus county,TX,10654,31327,21018
toa alta municipio,PR,22055,67602,46555
toa baja municipio,PR,28002,76248,39630
todd county,KY,4355,12206,10627
todd county,MN,9590,25121,22775
todd county,SD,2411,9434,786
tolland county,CT,56989,150120,128545
tom green county,TX,44814,119048,91685
tompkins county,NY,42889,105638,83655
tooele county,UT,21347,71340,62578
toole county,MT,1805,5013,4424
toombs county,GA,9779,26956,17599
torrance county,NM,5406,15150,11242
towner county,ND,980,2190,1934
towns county,GA,5323,12300,11601
traill county,ND,3276,8008,7446
transylvania county,NC,14113,32979,29960
traverse county,MN,1424,3362,2999
travis county,TX,514227,1267795,838840
treasure county,MT,335,693,677
trego county,KS,1304,2825,2733
trempealeau county,WI,12201,30504,28146
treutlen county,GA,2236,6410,4541
trigg county,KY,5755,14067,12548
trimble county,KY,3238,8502,8018
trinity county,CA,5492,15818,13034
trinity county,TX,5879,13695,11486
tripp county,SD,2101,5615,4472
troup county,GA,25216,69483,39703
trousdale county,TN,3349,11463,9465
trujillo alto municipio,PR,24022,68001,43519
trumbull county,OH,84989,202199,176507
tucker county,WV,2790,6822,6630
tulare county,CA,139631,470999,279500
tulsa county,OK,260639,664084,445871
tunica county,MS,3635,9949,1851
tuolumne county,CA,23103,55243,47151
turner county,GA,3269,8856,4989
turner county,SD,3467,8621,8255
tuscaloosa county,AL,81790,223945,139957
tuscarawas county,OH,37661,93025,89283
tuscola county,MI,21328,53288,50465
twiggs county,GA,2885,8034,4457
twin falls county,ID,32455,89128,76266
tyler county,TX,6525,20032,16742
tyler county,WV,2894,8397,8144
tyrrell county,NC,1415,3436,1991
uinta county,WY,7675,20514,18899
uintah county,UT,11227,35488,30319
ulster county,NY,71194,181862,145592
umatilla county,OR,27012,79509,63203
unicoi county,TN,7583,17891,16948
union county,AR,14791,39262,24989
union county,FL,4064,16141,11610
union county,GA,10172,24183,22852
union county,IL,6702,17259,16150
union county,IN,2820,7098,6846
union county,IA,4936,12193,11649
union county,KY,4934,13786,11430
union county,MS,9880,27775,21610
union county,NJ,198506,571963,275995
union county,NM,1277,4122,3169
union county,NC,78473,235699,180545
union county,OH,21654,61769,55055
union county,OR,10536,26255,23881
union county,PA,13880,43094,37541
union county,SC,11150,27306,17714
union county,SD,6839,16424,15102
union county,TN,7411,19597,18865
union parish,LA,7669,21272,14904
upshur county,TX,14576,40781,34567
upshur county,WV,9599,23965,22733
upson county,GA,10364,27424,18591
upton county,TX,1422,3340,1427
utah county,UT,179387,648265,571530
utuado municipio,PR,10111,28585,14680
uvalde county,TX,8324,24918,21024
val verde county,TX,16146,47767,37529
valencia county,NM,25550,75992,52184
valley county,ID,3690,11476,11189
valley county,MT,2892,7553,6395
valley county,NE,1725,4031,3958
van buren county,AR,6951,15851,14882
van buren county,IA,2858,7196,6989
van buren county,MI,29148,75550,63735
van buren county,TN,2412,6083,5800
van wert county,OH,11553,28808,27380
van zandt county,TX,22047,58782,53815
vance county,NC,16063,42650,17521
vanderburgh county,IN,76549,179695,150782
vega alta municipio,PR,12146,35728,16323
vega baja municipio,PR,19799,54544,30690
venango county,PA,21033,50810,48441
ventura county,CA,274471,845255,592773
vermilion county,IL,29747,74953,60737
vermilion parish,LA,21580,57775,46023
vermillion county,IN,6447,15477,14953
vernon county,MO,7783,19831,18915
vernon county,WI,11833,30719,29490
vernon parish,LA,17263,49064,37029
victoria county,TX,34219,91280,68748
vieques municipio,PR,2374,8317,2592
vigo county,IN,42595,106523,91599
vilas county,WI,10550,22813,19706
villalba municipio,PR,7823,22341,10502
vinton county,OH,5052,12853,12494
virginia beach city,VA,177046,457658,292528
volusia county,FL,228569,548783,421652
wabash county,IL,4731,11414,10856
wabash county,IN,12538,31120,29533
wabasha county,MN,9047,21425,20505
wabaunsee county,KS,2537,6881,6495
wadena county,MN,5582,14009,13000
wagoner county,OK,29280,80509,58132
wahkiakum county,WA,1891,4373,3768
wake county,NC,422144,1112883,695410
wakulla county,FL,11266,33144,26579
waldo county,ME,17213,39618,37842
walker county,AL,24646,65194,57781
walker county,GA,25629,67772,61958
walker county,TX,23780,76506,52164
walla walla county,WA,22842,62168,49721
wallace county,KS,662,1529,1445
waller county,TX,17286,55505,30114
wallowa county,OR,3269,7330,6781
walsh county,ND,4526,10631,9698
walthall county,MS,5353,13981,7366
walton county,FL,30182,73456,63035
walton county,GA,33009,95453,72235
walworth county,SD,2310,5355,4257
walworth county,WI,42018,105945,95273
wapello county,IA,14120,35343,30447
ward county,ND,27994,69686,58681
ward county,TX,4299,11375,9168
ware county,GA,12763,36084,22870
warren county,GA,1915,5218,1981
warren county,IL,6818,16887,14705
warren county,IN,3342,8430,8178
warren county,IA,19517,51862,49241
warren county,KY,51010,133216,106641
warren county,MS,17091,45141,21414
warren county,MO,12755,35033,32051
warren county,NJ,43789,109354,92416
warren county,NY,29261,65692,62000
warren county,NC,7737,18889,7262
warren county,OH,86981,239556,206637
warren county,PA,16070,38791,37202
warren county,TN,15790,40801,36193
warren county,VA,15082,40442,35069
warrick county,IN,24327,63575,58566
wasatch county,UT,10641,34028,31079
wasco county,OR,10345,26603,22184
waseca county,MN,7533,18972,17536
washakie county,WY,3370,7768,6655
washburn county,WI,7084,16561,15635
washington county,AL,5261,15574,10255
washington county,AR,91329,242793,176648
washington county,CO,2001,4834,4501
washington county,FL,8853,24906,19633
washington county,GA,7153,20052,8688
washington county,ID,4112,10425,8928
washington county,IL,5811,13827,13383
washington county,IN,10641,28025,27197
washington county,IA,8833,22525,20848
washington county,KS,2274,5531,5311
washington county,KY,4642,11957,10701
washington county,ME,13258,31003,27810
washington county,MD,58630,153956,122969
washington county,MN,98647,264818,219609
washington county,MS,17376,45616,11353
washington county,MO,8801,23791,22480
washington county,NE,8290,20699,19847
washington county,NY,24073,61504,56701
washington county,NC,4938,11183,5001
washington county,OH,24435,59942,57170
washington county,OK,20382,52382,38866
washington county,OR,226412,596969,426654
washington county,PA,86028,209090,192704
washington county,RI,50838,129735,119151
washington county,TN,54913,132067,118143
washington county,TX,13906,35561,26561
washington county,UT,61377,176533,157520
washington county,VT,25137,59609,56473
washington county,VA,21845,53997,51598
washington county,WI,55807,136300,126897
washington parish,LA,17367,45794,30431
washita county,OK,4076,11014,9493
washoe county,NV,188878,479758,339331
washtenaw county,MI,147185,372428,268216
watauga county,NC,20805,54077,50392
watonwan county,MN,4272,11223,9235
waukesha county,WI,164141,405332,364396
waupaca county,WI,22173,51769,49150
waushara county,WI,9886,24527,22350
wayne county,GA,10845,30118,22386
wayne county,IL,6796,16250,15685
wayne county,IN,26837,66588,59206
wayne county,IA,2536,6504,6216
wayne county,KY,7856,19743,18405
wayne county,MI,685635,1789781,925806
wayne county,MS,7518,19824,11336
wayne county,MO,4280,11298,10691
wayne county,NE,3714,9590,9004
wayne county,NY,37771,91332,82863
wayne county,NC,46761,117692,70739
wayne county,OH,43964,116858,110208
wayne county,PA,19379,51244,47056
wayne county,TN,5671,16350,14796
wayne county,UT,1055,2500,2443
wayne county,WV,14479,39337,37952
waynesboro city,VA,9419,22149,17194
weakley county,TN,13213,32948,28916
webb county,TX,76207,266963,182385
weber county,UT,87802,259390,222933
webster county,GA,929,2372,1081
webster county,IA,15659,37114,32914
webster county,KY,4759,12994,11679
webster county,MS,3941,9938,7852
webster county,MO,13700,38978,36755
webster county,NE,1434,3442,3237
webster county,WV,2964,8415,8273
webster parish,LA,14831,37356,23492
weld county,CO,111222,322424,267860
wells county,IN,11120,28103,26572
wells county,ND,1818,4031,3946
west baton rouge parish,LA,9759,27064,15559
west carroll parish,LA,3700,9959,7934
west feliciana parish,LA,3852,15334,8126
westchester county,NY,364413,999723,599188
westmoreland county,PA,152288,355107,332528
westmoreland county,VA,7873,18324,11938
weston county,WY,2754,6891,6154
wetzel county,WV,5603,14629,14249
wexford county,MI,13002,33552,31507
wharton county,TX,14991,41602,30676
whatcom county,WA,89865,224533,182547
wheatland county,MT,839,2082,1984
wheeler county,GA,1526,7568,4924
wheeler county,NE,337,735,728
wheeler county,OR,630,1477,1300
wheeler county,TX,1935,5091,4377
white county,AR,28599,77075,69092
white county,GA,10251,27886,25643
white county,IL,5690,13959,13516
white county,IN,9554,24593,22151
white county,TN,10306,27134,25645
white pine county,NV,3482,9192,7541
whiteside county,IL,23194,55932,51386
whitfield county,GA,35258,103076,86497
whitley county,IN,13725,34048,32450
whitley county,KY,12774,36578,35295
whitman county,WA,18010,48197,38736
wibaux county,MT,422,1018,980
wichita county,KS,897,2150,1792
wichita county,TX,48173,129419,97668
wicomico county,MD,39452,103223,65881
wilbarger county,TX,4586,12887,9247
wilcox county,AL,3626,10686,2905
wilcox county,GA,2446,8841,5557
wilkes county,GA,3988,9643,5116
wilkes county,NC,27265,66335,59328
wilkin county,MN,2680,6495,6100
wilkinson county,GA,3206,8931,5171
wilkinson county,MS,3316,8706,2460
will county,IL,237043,696403,487812
willacy county,TX,5372,20423,16239
williams county,ND,15286,38460,30729
williams county,OH,15261,37026,34715
williamsburg county,SC,12032,31279,10031
williamsburg city,VA,4778,15299,10758
williamson county,IL,28057,67271,60606
williamson county,TN,85311,242386,207982
williamson county,TX,217780,591759,425221
wilson county,KS,3461,8713,8225
wilson county,NC,31980,78844,38160
wilson county,TN,52983,144748,123111
wilson county,TX,16949,49374,40877
winchester city,VA,11018,28194,20989
windham county,CT,45425,116503,100917
windham county,VT,19085,45811,42859
windsor county,VT,24364,57593,54437
winkler county,TX,2723,7629,5765
winn parish,LA,4726,13875,9031
winnebago county,IL,115240,285471,212858
winnebago county,IA,4473,10743,10073
winnebago county,WI,71416,171304,153873
winneshiek county,IA,8156,20100,19262
winona county,MN,20109,49889,45995
winston county,AL,9219,23650,22248
winston county,MS,6841,17846,8943
wirt county,WV,2081,5264,5091
wise county,TX,23488,67877,59937
wise county,VA,14025,36531,33469
wolfe county,KY,2470,6666,6468
wood county,OH,53010,131930,118625
wood county,TX,17584,44615,38626
wood county,WV,35220,84678,81014
wood county,WI,31790,74107,68900
woodbury county,IA,39826,105102,83966
woodford county,IL,14675,38571,37166
woodford county,KY,10395,26758,24327
woodruff county,AR,2634,6333,4407
woods county,OK,3332,8731,7714
woodson county,KS,1237,3162,2937
woodward county,OK,7952,20591,17761
worcester county,MD,22573,52322,42727
worcester county,MA,326571,856858,685319
worth county,GA,7806,20824,14273
worth county,IA,3164,7450,7091
worth county,MO,725,2004,1966
wrangell city and borough,AK,842,2162,1275
wright county,IA,5343,12978,11856
wright county,MN,50290,139890,129222
wright county,MO,6721,18244,17298
wyandot county,OH,9036,21933,20972
wyandotte county,KS,60882,168333,89399
wyoming county,NY,15870,40679,36711
wyoming county,PA,10600,26389,25214
wyoming county,WV,7795,21581,21051
wythe county,VA,12125,28347,26714
yabucoa municipio,PR,11905,31047,3190
yadkin county,NC,14829,37198,33221
yakima county,WA,84636,255151,166449
yakutat city and borough,AK,216,562,176
yalobusha county,MS,5099,12586,7529
yamhill county,OR,38083,107024,89083
yancey county,NC,7618,18357,17387
yankton county,SD,9657,23213,20781
yates county,NY,8594,24808,23875
yauco municipio,PR,11836,34704,24533
yavapai county,AZ,103934,233789,202822
yazoo county,MS,8645,27924,10440
yell county,AR,7541,20489,15688
yellow medicine county,MN,3941,9616,8814
yellowstone county,MT,67000,163593,144413
yoakum county,TX,2682,7707,5727
yolo county,CA,75471,216703,137091
york county,ME,87914,210486,196718
york county,NE,5597,14164,13234
york county,PA,176428,454605,390694
york county,SC,106570,276569,199954
york county,VA,25389,69635,50311
young county,TX,7409,17894,16391
yuba county,CA,26888,80404,55657
yukon-koyukuk census area,AK,1899,5433,1225
yuma county,AZ,72716,202944,134869
yuma county,CO,3884,9944,8593
zapata county,TX,4390,13945,9543
zavala county,TX,3394,9900,7396
ziebach county,SD,689,2479,567
