county,state,household_income,total_population,total_white_population
carroll county,KY,4141,10808,9690
carroll county,MD,62907,172148,154351
carroll county,MS,3913,10053,6471
carroll county,MO,3339,8564,8141
carroll county,NH,21521,49961,47983
carroll county,OH,11300,26866,25820
carroll county,TN,10988,28370,24438
carroll county,VA,12127,29123,27798
carson city,NV,23191,57957,44463
carson county,TX,2282,5856,5376
carter county,KY,9483,26820,25861
carter county,MO,1887,5365,5185
carter county,MT,618,1349,1301
carter county,OK,18441,48102,34167
carter county,TN,23547,56314,53736
carteret county,NC,30069,67944,60129
carver county,MN,38213,105694,94759
cascade county,MT,34194,84178,72378
casey county,KY,5856,15863,15201
cass county,IL,4983,13058,11075
cass county,IN,15007,37918,31319
cass county,IA,5777,13158,12725
cass county,MI,20704,51632,45327
cass county,MN,12431,29917,24445
cass county,MO,41113,106966,94869
cass county,NE,10073,26546,25050
cass county,ND,77977,182992,155808
cass county,TX,11371,28692,22231
cassia county,ID,8003,24469,20394
castro county,TX,2417,7450,5557
caswell county,NC,8595,22785,14214
catahoula parish,LA,3055,9117,6025
catawba county,NC,63386,159852,123814
cataño municipio,PR,8716,23536,12508
catoosa county,GA,25450,67579,61418
catron county,NM,1523,3581,3268
cattaraugus county,NY,31333,77211,70278
cavalier county,ND,1553,3725,3488
cayey municipio,PR,16022,42134,18298
cayuga county,NY,30604,76644,69046
cecil county,MD,38672,103370,89109
cedar county,IA,7381,18494,17902
cedar county,MO,5504,14184,13501
cedar county,NE,3301,8401,8119
ceiba municipio,PR,4123,11463,3941
centre county,PA,57834,158879,137176
cerro gordo county,IA,19569,43185,39852
chaffee county,CO,8539,19436,17880
chambers county,AL,13123,34834,19827
chambers county,TX,14905,45257,35837
champaign county,IL,81835,206583,144522
champaign county,OH,15506,38678,36140
chariton county,MO,2563,7432,7038
charles city county,VA,2932,6817,3014
charles county,MD,58138,165209,66166
charles mix county,SD,2959,9346,5704
charleston county,SC,167853,404946,273058
charlevoix county,MI,11769,26109,24674
charlotte county,FL,82755,184837,160844
charlotte county,VA,4606,11605,8122
charlottesville city,VA,19312,46597,32472
charlton county,GA,3960,12416,7953
chase county,KS,1063,2583,2413
chase county,NE,1514,3694,3326
chatham county,GA,115403,294815,149041
chatham county,NC,30128,75070,57518
chattahoochee county,GA,2404,9533,5998
chattooga county,GA,9189,24898,20847
chautauqua county,KS,1294,3394,2923
chautauqua county,NY,53050,128042,114971
chaves county,NM,23244,65014,48446
cheatham county,TN,15366,40878,37935
cheboygan county,MI,10671,25654,23500
chelan county,WA,29474,78508,56789
chemung county,NY,34223,84456,73384
chenango county,NY,19753,47407,45266
cherokee county,AL,9692,24975,22846
cherokee county,GA,94208,262155,217607
cherokee county,IA,5126,11606,10840
cherokee county,KS,7543,19507,17437
cherokee county,NC,12371,28515,26433
cherokee county,OK,17486,47307,22938
cherokee county,SC,21081,56204,41308
cherokee county,TX,18173,50564,36606
cherry county,NE,2149,5505,4791
chesapeake city,VA,89413,247172,144113
cheshire county,NH,29991,76473,72187
chester county,PA,198159,531704,435100
chester county,SC,12672,32273,19262
chester county,TN,6108,17278,14869
chesterfield county,SC,17186,43655,27344
chesterfield county,VA,131350,359798,229291
cheyenne county,CO,695,1691,1490
cheyenne county,KS,1229,2647,2433
cheyenne county,NE,4283,9575,8911
chickasaw county,IA,5005,12021,11704
chickasaw county,MS,6745,17100,8545
